t,theta1,omega1,theta2,omega2,x2,y2,energy
0.58,0.5058927292,-6.594772832,-0.06384386123,6.176582481,0.4207880429,-1.87270489,1.314583646
0.585,0.4724276659,-6.791785496,-0.03224635245,6.46274982,0.4228086144,-1.889946337,1.314582787
0.59,0.437973359,-6.989634104,0.000781390018,6.74746583,0.4248863747,-1.905612726,1.314582553
0.595,0.4025397851,-7.182327166,0.03521168276,7.022096388,0.4269607877,-1.919449118,1.314583646
0.6,0.366171885,-7.361873724,0.07096662192,7.275192834,0.428950804,-1.931187742,1.314586802
0.605,0.3289591092,-7.518555557,0.1079046606,7.492880832,0.4307535123,-1.940563063,1.31459227
0.61,0.2910420427,-7.641853718,0.1458113275,7.660171156,0.4322457961,-1.94733373,1.314599114
0.615,0.2526125666,-7.722090427,0.1843990782,7.763277777,0.4332902928,-1.951309367,1.314604999
0.62,0.2139045936,-7.752466892,0.2233204494,7.792493192,0.4337459465,-1.952376961,1.314607184
0.625,0.1751750824,-7.730773233,0.2621949286,7.744601505,0.4334816311,-1.950519418,1.3146044
0.63,0.1366790222,-7.65998723,0.3006443404,7.623726037,0.432389573,-1.94581983,1.314597865
0.635,0.09864498428,-7.547459265,0.3383274531,7.440184567,0.4303949041,-1.938449647,1.314590339
0.64,0.06125754266,-7.40309628,0.3749649205,7.2079326,0.4274591256,-1.928644813,1.314584234
0.645,0.02464959541,-7.237354032,0.4103502791,6.941733681,0.4235776511,-1.916677356,1.314580552
0.65,-0.01109627165,-7.059705861,0.4443481915,6.654997946,0.4187734157,-1.902829487,1.314579066
0.655,-0.04594055471,-6.877833881,0.4768843981,6.358636223,0.4130890192,-1.887374254,1.314579023
0.66,-0.07987719047,-6.697438911,0.5079322368,6.06078501,0.4065792989,-1.870563589,1.314579694
0.665,-0.1129240129,-6.522428724,0.5374992659,5.767064879,0.399305317,-1.852622572,1.314580578
0.67,-0.145114626,-6.355265818,0.5656158502,5.481064847,0.3913300026,-1.833748041,1.31458141
