t,theta1,omega1,theta2,omega2,x2,y2,energy
0.6800000000,-0.0258043656,-0.2484323511,0.0124563179,-0.6560840647,-0.0133455062,-1.9995895069,-28.9828921712
0.6850000000,-0.0270384859,-0.2452231203,0.0091664399,-0.6598327756,-0.0178688799,-1.9995924709,-28.9828921712
0.6900000000,-0.0282566725,-0.2420593283,0.0058583366,-0.6633735980,-0.0223946093,-1.9995836468,-28.9828921712
0.6950000000,-0.0294591593,-0.2389436437,0.0025330563,-0.6667030052,-0.0269218449,-1.9995629022,-28.9828921712
0.7000000000,-0.0306461934,-0.2358786518,-0.0008083354,-0.6698176068,-0.0314497319,-1.9995301155,-28.9828921712
0.7050000000,-0.0318180345,-0.2328668503,-0.0041647563,-0.6727141529,-0.0359774103,-1.9994851765,-28.9828921712
0.7100000000,-0.0329749546,-0.2299106469,-0.0075351083,-0.6753895384,-0.0405040160,-1.9994279867,-28.9828921712
0.7150000000,-0.0341172375,-0.2270123556,-0.0109182781,-0.6778408068,-0.0450286804,-1.9993584597,-28.9828921712
0.7200000000,-0.0352451784,-0.2241741934,-0.0143131381,-0.6800651547,-0.0495505312,-1.9992765218,-28.9828921712
0.7250000000,-0.0363590832,-0.2213982778,-0.0177185470,-0.6820599352,-0.0540686927,-1.9991821120,-28.9828921712
0.7300000000,-0.0374592683,-0.2186866237,-0.0211333507,-0.6838226613,-0.0585822861,-1.9990751827,-28.9828921712
0.7350000000,-0.0385460597,-0.2160411407,-0.0245563830,-0.6853510101,-0.0630904303,-1.9989556998,-28.9828921712
0.7400000000,-0.0396197930,-0.2134636306,-0.0279864666,-0.6866428253,-0.0675922418,-1.9988236431,-28.9828921712
0.7450000000,-0.0406808122,-0.2109557848,-0.0314224137,-0.6876961204,-0.0720868355,-1.9986790064,-28.9828921712
0.7500000000,-0.0417294696,-0.2085191826,-0.0348630272,-0.6885090818,-0.0765733251,-1.9985217982,-28.9828921712
0.7550000000,-0.0427661252,-0.2061552886,-0.0383071012,-0.6890800711,-0.0810508233,-1.9983520414,-28.9828921712
0.7600000000,-0.0437911459,-0.2038654512,-0.0417534222,-0.6894076272,-0.0855184426,-1.9981697735,-28.9828921712
0.7650000000,-0.0448049052,-0.2016509010,-0.0452007696,-0.6894904689,-0.0899752954,-1.9979750473,-28.9828921712
0.7700000000,-0.0458077823,-0.1995127490,-0.0486479171,-0.6893274965,-0.0944204947,-1.9977679304,-28.9828921712
0.7750000000,-0.0468001617,-0.1974519861,-0.0520936333,-0.6889177929,-0.0988531545,-1.9975485058,-28.9828921712
0.7800000000,-0.0477824326,-0.1954694811,-0.0555366826,-0.6882606255,-0.1032723903,-1.9973168715,-28.9828921712
0.7850000000,-0.0487549882,-0.1935659810,-0.0589758262,-0.6873554470,-0.1076773194,-1.9970731409,-28.9828921712
0.7900000000,-0.0497182251,-0.1917421094,-0.0624098231,-0.6862018958,-0.1120670613,-1.9968174427,-28.9828921712
0.7950000000,-0.0506725429,-0.1899983669,-0.0658374309,-0.6847997968,-0.1164407387,-1.9965499205,-28.9828921712
0.8000000000,-0.0516183430,-0.1883351309,-0.0692574068,-0.6831491612,-0.1207974771,-1.9962707334,-28.9828921712
0.8050000000,-0.0525560288,-0.1867526554,-0.0726685086,-0.6812501867,-0.1251364062,-1.9959800554,-28.9828921712
0.8100000000,-0.0534860044,-0.1852510715,-0.0760694954,-0.6791032567,-0.1294566594,-1.9956780755,-28.9828921712
0.8150000000,-0.0544086743,-0.1838303879,-0.0794591288,-0.6767089398,-0.1337573749,-1.9953649972,-28.9828921712
0.8200000000,-0.0553244429,-0.1824904921,-0.0828361737,-0.6740679885,-0.1380376960,-1.9950410389,-28.9828921712
0.8250000000,-0.0562337135,-0.1812311506,-0.0861993992,-0.6711813385,-0.1422967713,-1.9947064330,-28.9828921712
0.8300000000,-0.0571368881,-0.1800520111,-0.0895475794,-0.6680501062,-0.1465337553,-1.9943614260,-28.9828921712
0.8350000000,-0.0580343665,-0.1789526029,-0.0928794947,-0.6646755878,-0.1507478088,-1.9940062783,-28.9828921712
0.8400000000,-0.0589265461,-0.1779323395,-0.0961939323,-0.6610592564,-0.1549380993,-1.9936412636,-28.9828921712
0.8450000000,-0.0598138207,-0.1769905196,-0.0994896870,-0.6572027604,-0.1591038013,-1.9932666687,-28.9828921712
0.8500000000,-0.0606965807,-0.1761263295,-0.1027655626,-0.6531079201,-0.1632440967,-1.9928827930,-28.9828921712
0.8550000000,-0.0615752118,-0.1753388455,-0.1060203722,-0.6487767257,-0.1673581755,-1.9924899483,-28.9828921712
0.8600000000,-0.0624500953,-0.1746270358,-0.1092529395,-0.6442113335,-0.1714452354,-1.9920884581,-28.9828921712
0.8650000000,-0.0633216064,-0.1739897631,-0.1124620991,-0.6394140632,-0.1755044830,-1.9916786574,-28.9828921712
0.8700000000,-0.0641901151,-0.1734257875,-0.1156466978,-0.6343873941,-0.1795351335,-1.9912608920,-28.9828921712
0.8750000000,-0.0650559843,-0.1729337692,-0.1188055951,-0.6291339618,-0.1835364114,-1.9908355182,-28.9828921712
0.8800000000,-0.0659195703,-0.1725122712,-0.1219376641,-0.6236565539,-0.1875075506,-1.9904029020,-28.9828921712
0.8850000000,-0.0667812220,-0.1721597627,-0.1250417922,-0.6179581067,-0.1914477947,-1.9899634187,-28.9828921712
0.8900000000,-0.0676412802,-0.1718746217,-0.1281168819,-0.6120417003,-0.1953563974,-1.9895174526,-28.9828921712
0.8950000000,-0.0685000776,-0.1716551391,-0.1311618513,-0.6059105551,-0.1992326225,-1.9890653958,-28.9828921712
0.9000000000,-0.0693579381,-0.1714995210,-0.1341756351,-0.5995680271,-0.2030757445,-1.9886076483,-28.9828921712
0.9050000000,-0.0702151762,-0.1714058928,-0.1371571850,-0.5930176036,-0.2068850486,-1.9881446168,-28.9828921712
0.9100000000,-0.0710720971,-0.1713723023,-0.1401054706,-0.5862628985,-0.2106598310,-1.9876767145,-28.9828921712
0.9150000000,-0.0719289959,-0.1713967234,-0.1430194798,-0.5793076478,-0.2143993989,-1.9872043601,-28.9828921712
0.9200000000,-0.0727861575,-0.1714770594,-0.1458982193,-0.5721557051,-0.2181030711,-1.9867279777,-28.9828921712
0.9250000000,-0.0736438561,-0.1716111466,-0.1487407156,-0.5648110366,-0.2217701775,-1.9862479956,-28.9828921712
0.9300000000,-0.0745023548,-0.1717967579,-0.1515460152,-0.5572777167,-0.2254000602,-1.9857648458,-28.9828921712
0.9350000000,-0.0753619057,-0.1720316063,-0.1543131853,-0.5495599232,-0.2289920728,-1.9852789636,-28.9828921712
0.9400000000,-0.0762227491,-0.1723133486,-0.1570413141,-0.5416619323,-0.2325455808,-1.9847907867,-28.9828921712
0.9450000000,-0.0770851134,-0.1726395885,-0.1597295116,-0.5335881142,-0.2360599618,-1.9843007545,-28.9828921712
0.9500000000,-0.0779492151,-0.1730078805,-0.1623769096,-0.5253429283,-0.2395346058,-1.9838093079,-28.9828921712
0.9550000000,-0.0788152581,-0.1734157334,-0.1649826628,-0.5169309184,-0.2429689147,-1.9833168879,-28.9828921712
0.9600000000,-0.0796834341,-0.1738606133,-0.1675459485,-0.5083567081,-0.2463623028,-1.9828239355,-28.9828921712
0.9650000000,-0.0805539217,-0.1743399472,-0.1700659674,-0.4996249965,-0.2497141969,-1.9823308912,-28.9828921712
0.9700000000,-0.0814268867,-0.1748511266,-0.1725419439,-0.4907405531,-0.2530240361,-1.9818381936,-28.9828921712
0.9750000000,-0.0823024816,-0.1753915100,-0.1749731264,-0.4817082138,-0.2562912721,-1.9813462796,-28.9828921712
0.9800000000,-0.0831808460,-0.1759584269,-0.1773587877,-0.4725328765,-0.2595153689,-1.9808555834,-28.9828921712
0.9850000000,-0.0840621056,-0.1765491805,-0.1796982251,-0.4632194963,-0.2626958033,-1.9803665359,-28.9828921712
0.9900000000,-0.0849463730,-0.1771610505,-0.1819907609,-0.4537730819,-0.2658320642,-1.9798795643,-28.9828921712
0.9950000000,-0.0858337468,-0.1777912964,-0.1842357426,-0.4441986909,-0.2689236534,-1.9793950911,-28.9828921712
1.0000000000,-0.0867243120,-0.1784371604,-0.1864325430,-0.4345014260,-0.2719700851,-1.9789135340,-28.9828921712
1.0050000000,-0.0876181398,-0.1790958699,-0.1885805606,-0.4246864310,-0.2749708860,-1.9784353053,-28.9828921712
1.0100000000,-0.0885152875,-0.1797646403,-0.1906792197,-0.4147588869,-0.2779255952,-1.9779608110,-28.9828921712
1.0150000000,-0.0894157983,-0.1804406775,-0.1927279706,-0.4047240081,-0.2808337642,-1.9774904506,-28.9828921712
1.0200000000,-0.0903197017,-0.1811211808,-0.1947262896,-0.3945870387,-0.2836949572,-1.9770246165,-28.9828921712
1.0250000000,-0.0912270129,-0.1818033448,-0.1966736796,-0.3843532488,-0.2865087503,-1.9765636937,-28.9828921712
